text,label
"How do I ignore the bad voices in my head that say things like ugly, fat, retarded, geek, and other stronger things like you should have committed suicide?",Moderate Stress
​I've had problems with depression for a while. I have never self-harmed but I have thought about suicide a lot recently.,Low Stress
"​I’m depressed. I’m so depressed that I cannot even see like the good that could happen, just the negative. I have always been a pessimist, but I mean it’s not as bad as this. Lately I have just felt like things never work out, and it’s like I don’t wanna see the positive because then if things don’t happen, there I am again...crushed. I have been so tired lately to the point where it’s messing up my job which I love.",High Stress
"Lately I feel like all of my friends have turned their back on me. None of them ask me to hangout anymore, not even my best friend. I have to just sit back and watch all them having fun together. I often feel alone and some of them are even spreading rumors about me that aren’t true. I don’t even know what I did wrong.",Moderate Stress
"​Hello I have been having bad anxiety. Last week, I cut myself. I need some advice asap. I have anxiety attacks a lot. I would like some advice.",Moderate Stress
​I need more or better options of coping skills for self-control improvement. ,Moderate Stress
"​I've suffered with anxiety from a very young age the depression just started kicking in 2 years ago. I also suffer from something called parental neglect which is - my parents don't really pay attention to me. Thus. I need attention to feel appreciated, or welcome. People started calling me clingy, and I think about ending it all. What should I do? ",High Stress
"​I’m having trouble opening up to my parents or guardians about how I’m feeling. To be honest I don't know why, they would most likely understand since they’ve helped me out of other rough patches in my life. Lately, it seems my depression is getting worse as I’ve hit a rough patch in college and it made me rethink on a lot of people, or older folk either from a past job or even school who told me I would never amount to anything, despite how hard I tried in that situation to do my best. And I’ve never been able to look at myself as someone successful and often I don’t think highly myself in any situation, despite being very talented in things like art or music. I feel helpless as I desperately want to tell anyone what I’m feeling but I’m also deathly afraid at the same time.  ",Moderate Stress
​I have had so much stress from everything since softball has stopped. Now I having to think about everything that is happening. It gets to me. This year I have went through a lot. I have lost so much that meant so much to me and I feel so alone. My mom isn't really here for me and my dad isn't really a person I can see that often. I recently found out that my dad's dad killed my dad's mom when my dad was little and that affected me so much. My mom has never been that mom I can talk to. My friends don't really care. I just need someone to tell me its gonna be okay because I feel all alone.,High Stress
"​I was recently at the treatment center. Before I left, I had a thing with this guy and he said he would wait for me. I talked to my mom and she said I should not be worrying about guys right now since I just got home but the thing is that he helped me, he was there for me and I really cannot stop thinking about him. I really want to see him but don't know if I would be able to and I don't know how to prepare myself to not be able to see him. I feel really down and sad without him and don't want to go back to where I was before and choose the wrong path.  ",Moderate Stress
​I've been depressed and suicidal all my life with no particular reason I mean I have achieved things in life but those are just distractions to not think about my misery. I don't know how normal is. I cry almost everynight for no reason. I want this to end but I'm too much of a coward to do it. ,Low Stress
My friend just told me I’ve been gaslighting without realizing it I want to stop doing it and end it and apologize to her. I don’t want to mentally abuse her.  ,High Stress
"​Hello, I am currently trying to calm down and I’m crying in my restroom. I fought with my parents but the issues are far beyond than them taking my phone away. ",Moderate Stress
​I need help trying to figure out how to get over someone I like who has cause me pain mentally  ,Moderate Stress
"​My parents say and do things that might be emotionally abusive. They do nice things sometimes, so I'm wondering if it's my fault, especially since I make a lot of mistakes. I wanted to talk to someone about it, and this was suggested to me. Hope I'm not bothering you!  ",Moderate Stress
"​I think I might have depression, but I can't check with doctors and I'm afraid to tell my parents. I've taken multiple quizzes, and it always says that I might be depressed. Can you tell me anything useful? ",High Stress
"​Hi. I have been struggling with life ever since I injured myself 2 years ago and lost dance as my coping skill. Since then I haven’t been able to dance still due to surgery. I started to get more emotional and it showed at school. My teacher recommended that I saw a therapist. My parents were never on board exactly with the idea, but they eventually caved. After a while my therapist said with confidence that she believes I am depressed and have social anxiety. It just seems to get worse. My parents don’t approve of medication and every conversation we have turns into a fight, so I have given up on trying. I just feel so stuck. I don’t want to go against them in talking to a doctor or anything, but I also don’t want to keep living like this. Some days it is like I wake up just to look forward to going to bed again.",Moderate Stress
"​My sister calls me dumb, retarded and lazy a lot. She knows how it hurts me, but she won't stop. I told my mom, but she hasn’t done anything to stop her. My stepdad calls me fat sometimes. It hurts me a lot. I don't know what to do so I came on here. I feel so alone right now.",High Stress
"​My mom's a police officer and with what that police officer who killed that man, I get scared how everyone is acting. Killing and hurting police officers. I couldn't tell my mom I sometimes wouldn't want her to be one with times like this. I know it makes me sound like a horrible daughter. I don't have a problem with her being one, just right now, I don't want her hurt if you get what I'm trying to say. I keep this to myself and cry a lot. Sorry for bothering you.  ",Moderate Stress
​I’ve been feeling suicidal but I don’t know how to tell my dad. Sometimes I cut too deep and I’m scared to tell him that too. So how do I tell him I want my life to end??? ,Low Stress
"​I reached out before about my breakup and talked about what to do. Now I need help with deciding if being friends with him is the best option. He said he wanted to be good friends, but I get upset a lot because he’s talking to other girls and such. I know its part of ending a relationship but how do I keep a friendship with him if I get upset when he starting to move on? ",High Stress
"​I feel lost. Like I'm stuck in a bottle and can't leave. I've tried everything possible to help myself. Talking to my friends. My family. Working on putting myself first. But it never worked. I still don't understand this dark feeling I have. It is making me feel trapped. Sometimes I get asked if I'm ok but I just say I'm fine because even myself doesn't know what's wrong. I've tried writing, singing, dancing, drawing. Nothing can distract me from the pain. ",Moderate Stress
"So I just started a new job, which is nice, but I feel like that brought on social anxiety to the max that I have never felt before. I don't talk to anyone at my job because I don't want them to think I am weird, and I am afraid of them talking behind my back about me. So, to avoid all that I don't talk to anyone. I am afraid to ask questions in fear that someone might snap at me or think I am annoying. I am having these thoughts that I might get fired even though it’s just my third day at work and I am still adjusting. Thinking about all this makes me want to cry because it’s like I cannot enjoy the fact I have a new job ",High Stress
"​I have been dealing with a lot of emotions lately. I felt overwhelmed and angry at my family. I then felt like I was alone even though I know I'm not alone! I have been missing my dad who passed away 9 years ago :(. I am hoping that Summer will keep some of these things off my mind. I babysat my cousins yesterday which helped a little bit but then when I got back home, I felt alone again.  ",Moderate Stress
"​For the past few months, I've gotten frustrated easily. I lose my temper in seconds and I go off. When I go off it's not pretty. I've lost some really important people that meant a lot to me and soon regret my words. But saying sorry is never enough because the words I said were so harsh. How can I check myself before any of this happens again and I lose another person that means a lot to me?",High Stress
"​I don't get why when someone passes away, you don't want to talk to anyone, push yourself away from everyone. Maybe something is wrong with me.  ",Moderate Stress
"​Hi I’m disappointed in the end of the school year, Today, in school I had someone I knew from a previous class, stop and talk to me in the hall. I am disappointed that I most likely won’t see them again. I no longer see people from my past.",Low Stress
​I don’t have a lot of friends  ,High Stress
"​I’ve been really overwhelmed with school. I messed up really badly and it affected one of my grades. That doesn’t bother me as much as the fact that my parents are so disappointed in me. I feel so stupid and like I don’t contribute anything to anyone anymore. If I weren’t here, everyone would be okay. I’m not crucial to anyone and I don’t bring people happiness, so why should I be here?",Moderate Stress
"​I met this sweet guy at school, but my parents hate him. What should i do? I love him but my parents say I'm not really in love. What should I do? ",Moderate Stress
​Hi. this pandemic has been making me anxious more than I would normally be. My family has already argued a lot to me for no reason. I don’t know what to do. ,Moderate Stress
​I haven't self-harmed in almost 2 years. So why so hard not to cut myself again? Why does it have to be hard? Is it really worth not to do it again?  ,High Stress
"​I have had multiple friend groups for the past three years and they all seem to ignore me except the one I have this year where 2 of them don't ignore me. But, for some reason everything they do has just started to annoy me more and more over the past few months even when they are just doing normal things. And sometimes when I am talking or hanging out with them I just get this really weird feeling and I don't want to be around them at all. Now I have the urge to just not be friends with them anymore because of it. Why is this happening and what should I do? ",Moderate Stress
"​I feel sad a lot and I feel like I have no friends, and everyone ignores me. I just wanna be happy for once.  ",High Stress
​I have a lot on my mind but one thing I’m really dealing with is the passing of my sister which will make a year next month and I don’t think that I’ve truly grieved about her passing. I have a lot of other things bothering me but I feel like that is the biggest one because everything else that I’m dealing with my sister helped me through so now that she is gone all of it is just hitting me really hard. I feel lost and out of place and I just want to figure out how to release some of the things that I’ve been holding in for so long. ,Moderate Stress
"​I’m currently dealing with some anxiety and self-esteem issues, which I seem to be getting from social media. I often use apps like Discord, Reddit, and other sites to try and escape my problems, but they always seem to come back to me, either by embarrassing myself or being made fun of by people online. Now, I’m not saying that everyone is like this, but the majority of people I interact with online are usually dismissive and oblivious to their problems or their feelings, and they sometimes end up hurting people without even realizing it. So, I’m personally considering if I should just stop trying to connect with people online and just focus on myself, whether it be through some other activity or working on school. I don’t want to be disconnected from everyone, but at the same time, am I even ready to make social interaction? Also, I’d just like to say that I’d really appreciate it if people didn’t make jokes about me or my situation. I understand that people make jokes, and sometimes I can have a good laugh at that, but this is a crossroad that I’m currently facing and wondering how I should handle it. A lot of people seem to do this online, and if I’ll be honest, it angers me to no end. ",Low Stress
"​I've been upset because my sister who's older than me is dating this guy, he's always drinking alcohol and I overheard him asking her to try drugs. She said no to the drugs. He is rude to me and my parents. They said to not date him, she's 17 and just says she's in love. I don't know what to do. Sorry ",High Stress
"I need help. My grades are the worst AND NOTHING I'm doing is working. I'M GIVING UP. I don't know what to do. My parents are so mad, our relationship is strained. Plz Help!",Moderate Stress
​I think my mom is verbally abusing me and I have really lost hope and don't know who to go to right now my mom picks on me and calls me names and yells at me for no reason and my dad also just sits there and let's it happen I just don't know what to do anymore any advice would help.,Moderate Stress
​I feel like I'm not good enough or smart enough. I feel stupid. I feel like I have friends. I know my mom loves me. I just feel tired of feeling this way. A few years ago I lost my grandpa and I feel this loneliness I wish I could be with him again. I miss him every day and the pain I deal with is there constantly I don't want to feel this way anymore. ,Moderate Stress
​I've been upset and crying a lot. I don't know how to tell my parents and I want to die sometimes. Sorry to bother you.  ,High Stress
"​I'm having loads of anxiety and thoughts of harming myself, I do not think would actually carry it out. I am so lost and it feels as if it's the only way. ",Moderate Stress
"​Hey. I’ve never messaged a hotline before because my mother reads all my texts and gets alerts when I message a new number. Around this time last year, I began to self-injure as a way of making my internal pain external. I felt that external pain felt better than internal pain and that it’s easy to deal with. I haven’t felt truly happy for more than a moment for the last couple of months and I wish that I could. My parents don’t believe in mental disorders and things like that, so they get really mad when I’m not happy all the time. Sometimes it feels more painful to pretend to be happy than it is to simply be numb. After all this time, however, I have become addicted to my self-injurious behavior, and no matter how badly I wish to stop, I can’t. The longest I’ve gone without hurting myself is only about a week. I need help, but I don’t know how to ask. ",High Stress
"Shouldn’t college be my choice? I don’t really want to go. I would rather go to cosmetology school. My mom is coming with me to tour the cos school I want to go to sometime this week or next week, but I think she is doing that in hopes of me realizing it’s not for me. It’s annoying because even though I don’t want to go to college, when we complete the FASFA, she said she is still going to put the college on there “just in case”. It’s like she wants me to change my mind. I know when it comes down to it I’ll probably end up going to college because that’s what my mom wants, but I want to go to a trade school like the beauty school for example. College is so big and they also don’t really have anything I’m interested in. Maybe graphic design, but idk. I do that right now at a career and tech high school I go to and I like it sometimes and hate it other times. I really just want to go to beauty school, but again, my mom wants to set everything up for college “just in case”. ",Moderate Stress
​I need help on my relationship with my family. I need emotional help with how to deal with my mother.,Low Stress
"This week is hitting me hard. I’m having suicidal thoughts constantly. I try to push them in the back of my mind, and act like there not there, but it’s making it worse. the method that I have been doing is not helping at all. I just don’t know what to do.  ",High Stress
"​I am depressed and don't want to live anymore. I just hide in my room and lay in bed. I haven’t been eating or drinking. My mom yells at me, calling me lazy, or telling me to grow up. I don't want to live anymore. there is no purpose, I just want to be alone. Please help ",Moderate Stress
​I’m trying to get over a relationship with this guy. He broke things off and I’m having a very hard time trying to get back to my normal life but he’s always on my mind every second of the day. I still love him.  ,High Stress
​How do I feel like I belong? ,Moderate Stress
"​So I have tried to commit suicide a few times, I've cut. I haven't eaten. This is probably what you guys see every day. I'm a person that hides my bad emotions. I try to help anyone else who feels the same way and make them feel better. I guess I'm doing it because I don't want them to feel what I feel. I try to make them relaxed, calm, and happy whilst I have their pressure added onto my shoulders, making my weight even more heavy. I also have depression. I am pansexual. My​ parents don't like the LGBT community like I do. My brothers don't know I am, but fortunately they both aren't homophobics​. Anyways I guess help me.....????",High Stress
"​How can I better deal with low confidence, low self esteem, and poor body image. Its like when I go to do something in school or even at work, I don't have the confidence i need and my mom has always said that as well and I agree with her as well. Just thinking about how I have low confidence makes me cry because I know that I have it. The poor body image makes me upset too and I start to think that I'm the ugliest person on the planet and thoughts like that make me emotionally drained. How can I deal with this?",Moderate Stress
"​Hi, I'm overwhelmed by everything lately, I am failing 3 classes and about to lose a credit. Every time I try to help it, I become overwhelmed by it which lets my anxiety kick in and nothing gets done, I can't focus in class due to unmediated ADHD and my teachers don't listen to me when I try and explain this to them, it doesn't help that my dad is crazy about grades and he stresses out too. I've been stressed by family, school and some mental stuff I've cried more these past months than all of last school year and everything seems hopeless. I know that I need to study more and I know that ADHD isn't an excuse but that doesn't change the fact that I can not focus and I become so anxious and stressed and unmotivated I don't know what to do, and I don't know what I'd expect you to be able to do but it's 1:00 am and I'm desperate for anything. Thank you for taking your time to read this.",Low Stress
"​I've been struggling with what I think is depression for 2 years. I haven't been diagnosed with anything though. I do know that I have anxiety, and I am being driven insane because of my constant overthinking and sadness. I can't handle it anymore. I'm not brave enough to commit suicide but it's still stressful. I want to kms, but I am too scared. I've been cutting myself for over a year. I started out just scratching myself, but it led to cutting, I'm addicted to it, I'm losing my mind and I don't know what to do anymore.",High Stress
"​Hi I have a problem where I am not able to be happy doing anything besides writing stories. Whenever I watch TV, I wish that I was in that world with those people and it makes me depressed when I realize it's not even real. ​",Moderate Stress
​I would like to discuss about my depression. ,Moderate Stress
​How do I tell my mom that I need her help? ,Moderate Stress
"​I'm really overwhelmed right now. I have a friend who constantly becomes upset with me because he feels like we are not as close as we used to be. I've tried explaining that I am really stressed and emotionally disconnected right now, and that maintaining all my relationships right now is hard, but he doesn't understand. I need space but he won't give it to me. He also constantly invades my physical personal space and says things that make me uncomfortable, but I don't want to end the friendship because I know he's in a tough time in his life right now. I don't know what to do. ",High Stress
​I just don't feel worthy. I feel like I mess everything up. I just don't feel like I have a part in life right now.,Moderate Stress
"​I'm scared to talk to my parents. Things haven't been the best in school. I'm scared to tell them because they'll be upset with me.. I plan to fix things. This isn't the first time this has happened. I've been putting off seeking help because I thought I would get over my fear to talk to them, but things are only getting worse. At this point, I don't know how much more of this I can handle.",High Stress
​How do I start a new life after a painful past? How do I make new memories??,Moderate Stress
"​I've been having a hard time falling asleep in the past few days and I'm having some emotional distress and feeling that I won't be able to make it through school, what can I do?",Low Stress
"​I've been having issues with my mom. We usually don't get along, but recently this year it's gotten a lot worse for me. I'm a junior just trying to get through school and plan for my future. But recently it's just been so hard to do anything lately, because my mom constantly insults me and makes me feel terrible. I mean this morning I had to go to school, and I wanted to cry so much, because my mom was arguing with me and saying some really terrible things about me this morning. I still had to go throughout each of my classes with a straight face. I just have to hear so much terrible things from her that I begin starting to believe them sometimes. She also makes me really scared sometimes. I feel like can't truly be myself around her. She strongly criticizes me for who I am, and what I like. I feel like she just ridicules me for everything I do. It's been so much to deal with, and I don't know what to do anymore. I used to be able to keep a positive mindset despite her treating me like this all the time, but I don't know how much I can take anymore. I've talked to a friend about this issue between me and my mom, and they were really supportive and kind to me before, but they also said that I really need to talk to an adult. I've considered reaching out to my grandma about this situation, but it's so hard for me to talk about this issue with the people in my family. I don't know what they can do to help. And that's why I'm here sending this email. Anyway, I'd be happy to hear back from someone. Thanks to whoever took the time to read about this.",High Stress
"​I always feel like I'm not good enough and that makes me mad. Then I start to hurt myself. Music is something I love. I can't focus to give a full effort to improve my skills. I feel like giving up on music but then I think, I really love music. Just tell me what to do. ",Moderate Stress
​I've been dealing with a lot of family issues and keep getting shut out and it's really hurting me,Moderate Stress
"​I just think sometimes I'm not meant to be in this world and that no one loves me. When I think to myself like this, I don't know I feel like I would be better off sometimes if I wasn't here in this world. But then I think to myself how many people would miss me like my friends and what I'm going through but I don't know if people would miss me actually.",Moderate Stress
​I don't feel like anyone likes me as a person anymore and I just feel left out in everything if I had to describe it.,High Stress
Hey me and my boyfriend just broke up and I can't stop crying so I think I need some help.,Moderate Stress
"​Me and my dad have been fighting and I can't take it no more, plus me and my boyfriend broke up on the same day. I feel lonely in pain emotionally.",High Stress
​My friend isn't being nice to me but she keeps on hanging out with me and doesn't care that she hurts me inside and out.,Moderate Stress
"​How can I manage how toxic people in my life affect me, such as my mother or my grandmother, without cutting them out of my life completely (because I can't)? ",Low Stress
"​I'm not sure where to begin with this, but I'm feeling like my boyfriend is being really controlling and overly jealous. Whenever I say I've been talking to another boy of similar age he seems really protective and says things like 'is he good looking?' or just asking who he is and if I say he's a friend, he'll act weird whenever i bring them up. This makes conversation really frustrating because i just want to say a simple thing but i can tell he's getting annoyed at the mention of me talking to another boy. I want things to improve but how do I even start?",High Stress
"​My older sister is currently suffering from an eating disorder. Every day after school, I hear her eating, then throwing it all out in the bathroom. She is already going to therapy but she doesn't seem to understand how pale she looks. I want to help her, but she never talks to me. And even if I manage to get her to talk to me, she's always in a bad mood, and I always feel like it's my fault for everything. I feel guilty for not doing enough to help her, but she won't let me. My family already knows and they are trying too, but she doesn't let us. I want to try and help her without knowing. The worst part is that my parents aren't there to see it. They're at work and my other brother takes care of us. My brother also knows, but he won't say anything. As I said, I want to try and help her without knowing. How can I help? ",Moderate Stress
​I'm being bullied by my ex best friend on social media and it's making me really upset.,High Stress
"​​I feel like giving up. I have thought about suicide many times and I just can't take anything anymore. I talked to my mum about getting a therapist, but she doesn't believe I need one because I hide my feelings so well.",Moderate Stress
​I need help and want to stop thinking about committing suicide  ,High Stress
"​I failed my physics tests and my mom got really mad at me. I was going to have a “Friendsgiving"" and sleepover but she basically canceled it. It makes me so upset and I am so mad. ",Moderate Stress
"​Hi, sorry for bothering you with this problem. I was so upset today because the boy I was going on a first date with texted me saying that he never wanted to go out with me and not to text him back. Today in class he looked at me for a minute. My friends saw this, they said think about something happy and don't cry. So I did my best to be ok, then after class they said his loss and don't waste crying on him. So that's what I'm going to do, try to be happy and not waste my time on being upset anymore. It will be okay soon. I'll tell my parents this soon. Thank you.",Low Stress
"​I have a crush on this guy. He has been my friend for forever. He already knows I like him. I want to talk to him about it, but I don't know how. My gut is telling me to, I just don't know what to say. ",High Stress
​I've tried coping with the methods that are on the list on this website. I put band-aids on when I want to cut and I draw or take walks when im feeling suicidal. I had an anxiety attack at school and hid in the bathroom for 30 minutes. How do I tell my friends about this? My parents don't love me and i hate myself. I have depression and anxiety and my whole world is falling around me and i just want to fall with it so the pain will stop.,Moderate Stress
"​Hi. I don't really like doing stuff like this. I have terrible anxiety, especially around people I know don't like me since no matter what I try I'm a people pleaser. I want to please everyone, and hate being alone. Well, all of my anxiety and issues have come up over the course of a week, and today during class it hit me like a bus since everyone had decided they didn't want to sit with me. Help please. ",Moderate Stress
"​For about 5 years I have suffered from depression, also anxiety. Lately I don't know what to do with my life, I've been thinking about my end. These days my depression has worsened a lot, I have a hard time doing some things that matter to me. It's like watching a movie that is being filmed around you, one where everyone has their happy ending except you. I have no one to talk to. I only have my mother and she, despite being very wise, is very religious and because I and God are not in good terms to say .... it does not help. I hope someone here can help me, please. ",Moderate Stress
​I'm having a hard time coming out as bisexual. I'm embarrassed what my parents will think of me.,High Stress
"​I lost my grandparents, and I have been having suicidal thoughts. Please help me. ",Moderate Stress
"​Hi, I'm upset and I'm sorry if this is a stupid problem. One of my teachers told my mom that I'm having trouble reading because I said the words are too small. My parents took me yesterday for a eye exam and I have to wear glasses now when I'm reading, on computer and doing homework or class work. We will get them this week, I don't want to be made fun of.  ",High Stress
"​I blame myself for everything that goes wrong in my life, feel like no one actually likes me (family and friends) and think that I should die and make everyone's life easier. I don't like to talk to anyone about my problems and keep many of my emotions to myself because I don't want to burden anyone. What should I do? ",Moderate Stress
​Hey so I am in a relationship and he is saying that I can alone text him. What do I do? ,Low Stress
​I am suffering from depression. But my family thinks I am acting. I want to live a life without depression. Please help me.,High Stress
"​Hello. My parents really want me to start seeing a social worker on a weekly basis, but I'm really nervous. I know I'm an anxious kiddo, but I am really nervous about trying to express my feelings. ",Moderate Stress
"​My mom is getting a divorce from my step-dad and I want to live with my mom full time, but I am really stressed out because I am worried about how the process is going to go because I have lived with them both my entire life. I know that it will be good for my sisters and I to live with my mom because we will have a more stable schedule, but I am nervous about how living with one parent is going to work.",Moderate Stress
"​I don't really know what to say but I guess I'll start from the top. So ever since I can remember I've felt off, not liking feminine things, wanting to only have guy friends, puberty stress...etc. and just last year I learned what transgender meant and it clicked. A while later I told my mom about my depression and anxiety and it gunned until I was kinda cornered by my mom to tell her if I felt like a guy and I said I did, the next day she heavily turned the idea down with a lot of transphobic comments that made me extremely suicidal and I started cutting, I didnt expect it to hurt as much as it did, So I haven't said anything since. But whenever the topic comes up my mom gets upset and extremely defensive. And keeps telling me I'm a girl not a guy. I got my haircut and she always tells me she hates it and it needs to be more feminine. Now, how I feel and her influence as a parent are clashing and confusing me so much to where my stress is at a new high and I started getting panic attacks. I can't tell if she is transphobic or just doesn't know enough to understand. But her not giving me the time of day to calmly and patiently talk about it with me (it's really difficult to talk about) is taking a huge emotional toll on me. Can you help me talk to her about it? ",Moderate Stress
​I have been having a really tough time and want to talk to someone. My parents just divorced and it's been really tough. With school starting and having a lot of changes I have been really overwhelmed.,High Stress
"​Hi, sorry for bothering you again. I feel broken, I don't get to dance for a while until my knee is better. I told my parents and they made me go to the doctor. Dance was the one thing that made me feel happy always, no matter what was wrong. Now I don't have it anymore. Now I have to find something else.",Moderate Stress
​What do you do if you are being bullied at school? Please answer as soon as you can.,High Stress
"​I just want to cry and I hate myself. My parents said accidents happen and don't beat myself up over this. I was asked to let our dog's in and I thought they were both in and one was not and I accidentally hit one of his legs. I grabbed him and hugged him and feel so bad. I started crying and said I'm sorry for doing this. My parents said he will be okay, but I feel like a horrible person, I didn't mean to hurt him. I hate myself. ",Moderate Stress
"​I am constantly having negative thoughts along the lines of, ""Nothing matters, everything's subjective, why care at all,? and it really gets to me. I'd like information on how to cope, (not stop) with this thinking. I've self-harmed and made just-in-case plans on suicide. And then, I'll think, just kys, you won't have to deal with any of this. No school, drama, socialization, etc. You could call this philosophical negative thinking/suicidal ideations. Help, please. ",Low Stress
"​Yesterday while I was on my break from work I did a lot of research cause I have intrusive thoughts. They get the best of me sometimes. I kept reading about schizophrenia. Then when I was having dinner around 10 pm I heard voices in my head and I was panicked and worried. I haven't been getting the best of sleep. I also hear voices when I try going to sleep. I wake up with anxiety and I twist and turn. I don't want to have schizophrenia. I am so worried. I called the suicide hotline yesterday. I was wondering if you guys will email me back. Today I went to the clinic to get therapy, that's how worried I am. I don't want to lose touch from reality that's sounds scary but I know you guys can't diagnose me either. Please I need help.",High Stress
​Hi. So I'm going to High School pretty soon and I am scared about it because I will be a freshman and I feel like it will be scary. Is there any way you can help me? My high school I'm going to will be huge. What about COVID? I'm scared. Please help me.  ,Moderate Stress
"​I sort of harmed myself. With a razor. I've never done it before, I just did it because I was feeling extremely upset and I didn't know what else to do. I've been having so many suicidal thoughts. I just don't know if I can deal with any of this anymore. I'm not alone but I sure don't feel like I have anyone I trust enough to tell this to that isn't my mom, and I don't want to have to answer the question ""Do you feel safe?"" to my mom because I don't. I just need to stay alone, and well...when I'm alone I'm not safe so, I'm not sure anymore. ",High Stress
"​I'm always there for my best friend. No matter what she's going through I give her advice.. even if I don't know what to say, I try to be honest with her.. I give advice to all my friends yet whenever they need it. I'm always helping them and telling them what I think and fixing things.. Yet they all (my best friend in particular) say how they're not good at giving advice and change the topic. The other day I told my best friend something that was bothering me and she responded by telling my she had finished season one of a show we were talking about earlier. Then I'm always left feeling like I shouldn't have said anything.. am I being to overdramatic, expecting they at least try to give me advice, whether they are ""good at it"" or not? Should I keep asking them for help or should I just stop bothering them with my problems in general?",Moderate Stress
​I want help. I'm too scared to ask though. I feel like no one will understand my problems or will think they aren't important enough to worry about. I feel like I don't deserve help either. After all the bad stuff I've done in my life. Maybe this sadness is karma. Maybe wanting to go to sleep and not wake up is the payback for being a messed up person. I just wish this was all over. ,High Stress
"​I am always constantly arguing with my mom about silly stuff. Every day we ride to school and we always end up arguing in the car. I don't think there has been a day where we haven't argued. But she is also always on my back, and I'm starting to lose it. I'm afraid we are going to tear our relationship apart. I just want to stop that before it's too late. ",Moderate Stress
​Never really had social anxiety up until I started taking my stimulant medication but now I just feel nervous around my family in general and peers. It’s really bad even when making eye contact with others. ,Low Stress
"​Well, when it comes to my family, they keep stressing me out. My dad calls me names almost everyday like cow, useless, stupid, etc. He does this because he has anger issues, and it's bad. My dad has beat me up for eating his ice cream. It wasn't too bad, but he left some bruises on my head, and he's choked me before. He pushed down on my brother and sister's eyes before. Then my mom is a narcissist or something. Any time I talk to her, she's always screaming or high strung. One time I went into question, and said “Mom"", then she screamed “WHAT"". I never did anything wrong. Then she is always talking crap on my older sister to me and vice versa. I've been having acne flare ups recently, and she keeps telling me how my face is bad, but I've been trying to control it. Then my lil brother keeps calling me names like cow, stupid, etc. he probably gets it from my dad. Then my brother is the favorite, so my parents let him get away with murder. My mom is always talking about how she hates kids to our face. And there's so much more. My mother doesn't buy me any feminine products either. Like there's so much more. I don't want to tell anybody because I don't want to be taken away from my family.",High Stress
"​I'm having troubles focusing on healing emotionally after a recent suicide attempt...and I am looking for support and better coping strategies. I feel quite lonely, and even though I know I have friends it doesn't seem that they want to be around. I have high anxiety, that I have no idea how to cope with. My depression is so deep to the point where I can't get out of bed. I need encouragement, but I can't find that positivity. Please, help.  ",Moderate Stress
"​Hi, I'm sorry for bothering you with this, I don't know what to do. In September I'm going to be in a new school and not know anyone. I'm shy. I'm upset and just want to cry now. Can't believe my dad's job was moved. It's not fair, sorry for being upset about this.",Moderate Stress
​I'm currently feeling really depressed and stressed by my family. My parents have been pressuring me to lose weight. I didn't tell them I how feel because they never cared. I have two older siblings and they're not like my siblings instead they are my bullies. When I wear shorts during the hot summer and they bully me calling me a fat pig. I keep telling them to stop but they won't. Eventually I would keep all these feelings inside me and would not tell them anything. I would sometimes tell my friend about it but it doesn't help with anything. Eventually she got annoyed of me ranting to her every time something happened and turned to ignore me. Now I have all the feelings kept inside me and today I broke out. When my mom is talking to me about my weight again I cried and locked myself in my room. I want to tell somebody about my feelings but I realized I have no one. So I decided to send you guys a email seeking for some advices. Thank you for looking through this message that means a lot to me.,Moderate Stress
​Hi I'm only 10 and I have a problem. I need to talk about my Suicide thoughts It's really hard to talk to someone about this because my thoughts keep telling me that no one will ever love me. My Dad yells at me that I will never find love and that I'm a pig and a dog.,High Stress
"​I decided I don't want to be a part of my family's religion anymore. But the problem was, my parents (mostly my father) are very strict with this religion, and would surely be highly disappointed if I told them, and there would be so many consequences. For the past few months, I've been anxious every single day about this dilemma. The school's guidance counselor, social worker, and even my friends didn't do much besides be there to listen and give minimal advice. I don't know what to do to solve this problem anymore. This religion, has many rules. One of them is you can't date, and your parents choose a bride/groom for you; when you reach the right age. My dad is quite strict about this; I believe he has shunned relatives on his side of the family when they left the church. To make it worse, just last week my dad told me to gain weight because he wants me to be, and I quote, ""not very attractive, so boys won't be attracted to me."" I had just gotten to a normal weight, and right when I was feeling confident in myself, he's now telling me to gain some of it back; I don't believe this is healthy for me, both physically and emotionally. I honestly don't know what to do.",Moderate Stress
"​​I don't want to be scared of the news, people getting sick and die. I was also scared when they took our school away for 3 weeks. I'm also scared because if we have to stay in our homes, my mom will have to still go to work. She has to help people. I'm sorry for bothering you with this problem . I don't know what to do.",High Stress
"​I honestly feel like I'm depressed. I've read online all about it, and it tells me to confide in my parents, a counselor or friends but I just don't have enough confidence and I'd feel really uncomfortable. I just want to know why I'm feeling this way. I cry every night, and I feel isolated and useless.",Moderate Stress
​Hi. So I have not left my house because of the Coronavirus. My mom has a chronic health condition and thinks that she is high risk and she is freaking out because my dad is still going to work. My brother has been driving me insane also. I literally just walk into the same room as him and he finds some reason to tease when I don’t even look at him. I can’t take him anymore. I don’t know what I’m going to do if I have to stay inside until August. I think I’m going to lose my mind. This virus is just messing everything up.  ,Low Stress
